"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate	% of Total Deaths
	"Autauga County, AL"	"01001"	"2012"	"2012"	12	55514	Unreliable	Unreliable	0.0%
	"Autauga County, AL"	"01001"	"2017"	"2017"	12	55504	Unreliable	Unreliable	0.0%
	"Autauga County, AL"	"01001"	"2019"	"2019"	11	55869	Unreliable	Unreliable	0.0%
	"Baldwin County, AL"	"01003"	"1999"	"1999"	13	137555	Unreliable	Unreliable	0.0%
	"Baldwin County, AL"	"01003"	"2000"	"2000"	15	140415	Unreliable	Unreliable	0.0%
	"Baldwin County, AL"	"01003"	"2001"	"2001"	14	144875	Unreliable	Unreliable	0.0%
	"Baldwin County, AL"	"01003"	"2002"	"2002"	15	147957	Unreliable	Unreliable	0.0%
	"Baldwin County, AL"	"01003"	"2003"	"2003"	30	151509	19.8	16.5	0.0%
	"Baldwin County, AL"	"01003"	"2004"	"2004"	28	156266	17.9	14.8	0.0%
	"Baldwin County, AL"	"01003"	"2005"	"2005"	18	162183	Unreliable	Unreliable	0.0%
	"Baldwin County, AL"	"01003"	"2006"	"2006"	21	168121	12.5	10.7	0.0%
	"Baldwin County, AL"	"01003"	"2007"	"2007"	34	172404	19.7	15.3	0.0%
	"Baldwin County, AL"	"01003"	"2008"	"2008"	17	175827	Unreliable	Unreliable	0.0%
	"Baldwin County, AL"	"01003"	"2009"	"2009"	12	179406	Unreliable	Unreliable	0.0%
	"Baldwin County, AL"	"01003"	"2010"	"2010"	20	182265	11.0	8.5	0.0%
	"Baldwin County, AL"	"01003"	"2011"	"2011"	18	186717	Unreliable	Unreliable	0.0%
	"Baldwin County, AL"	"01003"	"2012"	"2012"	36	190790	18.9	15.2	0.0%
	"Baldwin County, AL"	"01003"	"2013"	"2013"	30	195540	15.3	12.3	0.0%
	"Baldwin County, AL"	"01003"	"2014"	"2014"	28	200111	14.0	9.4	0.0%
	"Baldwin County, AL"	"01003"	"2015"	"2015"	40	203709	19.6	15.4	0.0%
	"Baldwin County, AL"	"01003"	"2016"	"2016"	27	208563	12.9	10.0	0.0%
	"Baldwin County, AL"	"01003"	"2017"	"2017"	45	212628	21.2	16.6	0.0%
	"Baldwin County, AL"	"01003"	"2018"	"2018"	37	218022	17.0	12.8	0.0%
	"Baldwin County, AL"	"01003"	"2019"	"2019"	43	223234	19.3	14.5	0.0%
	"Baldwin County, AL"	"01003"	"2020 "	"2020"	61	229287	26.6	20.1	0.0%
	"Blount County, AL"	"01009"	"2016"	"2016"	16	57704	Unreliable	Unreliable	0.0%
	"Blount County, AL"	"01009"	"2019"	"2019"	18	57826	Unreliable	Unreliable	0.0%
	"Calhoun County, AL"	"01015"	"1999"	"1999"	12	114910	Unreliable	Unreliable	0.0%
	"Calhoun County, AL"	"01015"	"2000"	"2000"	12	112249	Unreliable	Unreliable	0.0%
	"Calhoun County, AL"	"01015"	"2001"	"2001"	13	111266	Unreliable	Unreliable	0.0%
	"Calhoun County, AL"	"01015"	"2004"	"2004"	13	113462	Unreliable	Unreliable	0.0%
	"Calhoun County, AL"	"01015"	"2005"	"2005"	11	114477	Unreliable	Unreliable	0.0%
	"Calhoun County, AL"	"01015"	"2006"	"2006"	14	115388	Unreliable	Unreliable	0.0%
	"Calhoun County, AL"	"01015"	"2007"	"2007"	17	116211	Unreliable	Unreliable	0.0%
	"Calhoun County, AL"	"01015"	"2008"	"2008"	14	117274	Unreliable	Unreliable	0.0%
	"Calhoun County, AL"	"01015"	"2009"	"2009"	16	118363	Unreliable	Unreliable	0.0%
	"Calhoun County, AL"	"01015"	"2010"	"2010"	11	118572	Unreliable	Unreliable	0.0%
	"Calhoun County, AL"	"01015"	"2011"	"2011"	17	117797	Unreliable	Unreliable	0.0%
	"Calhoun County, AL"	"01015"	"2012"	"2012"	20	117296	17.1	14.4	0.0%
	"Calhoun County, AL"	"01015"	"2013"	"2013"	14	116736	Unreliable	Unreliable	0.0%
	"Calhoun County, AL"	"01015"	"2014"	"2014"	32	115916	27.6	20.7	0.0%
	"Calhoun County, AL"	"01015"	"2015"	"2015"	28	115620	24.2	21.5	0.0%
	"Calhoun County, AL"	"01015"	"2016"	"2016"	20	114611	17.5	14.3	0.0%
	"Calhoun County, AL"	"01015"	"2017"	"2017"	23	114728	20.0	16.6	0.0%
	"Calhoun County, AL"	"01015"	"2018"	"2018"	25	114277	21.9	16.8	0.0%
	"Calhoun County, AL"	"01015"	"2019"	"2019"	29	113605	25.5	20.2	0.0%
	"Calhoun County, AL"	"01015"	"2020 "	"2020"	31	113469	27.3	21.5	0.0%
	"Chambers County, AL"	"01017"	"2014"	"2014"	12	34076	Unreliable	Unreliable	0.0%
	"Chambers County, AL"	"01017"	"2016"	"2016"	11	33843	Unreliable	Unreliable	0.0%
	"Chambers County, AL"	"01017"	"2019"	"2019"	11	33254	Unreliable	Unreliable	0.0%
	"Cherokee County, AL"	"01019"	"2007"	"2007"	10	25553	Unreliable	Unreliable	0.0%
	"Cherokee County, AL"	"01019"	"2019"	"2019"	11	26196	Unreliable	Unreliable	0.0%
	"Chilton County, AL"	"01021"	"2017"	"2017"	11	44067	Unreliable	Unreliable	0.0%
	"Chilton County, AL"	"01021"	"2018"	"2018"	11	44153	Unreliable	Unreliable	0.0%
	"Chilton County, AL"	"01021"	"2019"	"2019"	14	44428	Unreliable	Unreliable	0.0%
	"Chilton County, AL"	"01021"	"2020 "	"2020"	11	44397	Unreliable	Unreliable	0.0%
	"Coffee County, AL"	"01031"	"2019"	"2019"	11	52342	Unreliable	Unreliable	0.0%
	"Colbert County, AL"	"01033"	"2007"	"2007"	10	54486	Unreliable	Unreliable	0.0%
	"Colbert County, AL"	"01033"	"2015"	"2015"	14	54354	Unreliable	Unreliable	0.0%
	"Colbert County, AL"	"01033"	"2016"	"2016"	12	54216	Unreliable	Unreliable	0.0%
	"Colbert County, AL"	"01033"	"2017"	"2017"	13	54500	Unreliable	Unreliable	0.0%
	"Colbert County, AL"	"01033"	"2018"	"2018"	14	54762	Unreliable	Unreliable	0.0%
	"Colbert County, AL"	"01033"	"2019"	"2019"	11	55241	Unreliable	Unreliable	0.0%
	"Colbert County, AL"	"01033"	"2020 "	"2020"	16	55411	Unreliable	Unreliable	0.0%
	"Covington County, AL"	"01039"	"2019"	"2019"	10	37049	Unreliable	Unreliable	0.0%
	"Covington County, AL"	"01039"	"2020 "	"2020"	11	36930	Unreliable	Unreliable	0.0%
	"Cullman County, AL"	"01043"	"2008"	"2008"	11	80273	Unreliable	Unreliable	0.0%
	"Cullman County, AL"	"01043"	"2012"	"2012"	11	80440	Unreliable	Unreliable	0.0%
	"Cullman County, AL"	"01043"	"2013"	"2013"	12	80811	Unreliable	Unreliable	0.0%
	"Cullman County, AL"	"01043"	"2014"	"2014"	14	81289	Unreliable	Unreliable	0.0%
	"Cullman County, AL"	"01043"	"2015"	"2015"	23	82005	28.0	22.4	0.0%
	"Cullman County, AL"	"01043"	"2016"	"2016"	17	82471	Unreliable	Unreliable	0.0%
	"Cullman County, AL"	"01043"	"2017"	"2017"	13	82755	Unreliable	Unreliable	0.0%
	"Cullman County, AL"	"01043"	"2018"	"2018"	18	83442	Unreliable	Unreliable	0.0%
	"Cullman County, AL"	"01043"	"2019"	"2019"	26	83768	31.0	26.8	0.0%
	"Cullman County, AL"	"01043"	"2020 "	"2020"	21	84515	24.8	19.0	0.0%
	"Dale County, AL"	"01045"	"2012"	"2012"	12	50444	Unreliable	Unreliable	0.0%
	"Dale County, AL"	"01045"	"2014"	"2014"	11	49484	Unreliable	Unreliable	0.0%
	"Dale County, AL"	"01045"	"2015"	"2015"	10	49565	Unreliable	Unreliable	0.0%
	"Dale County, AL"	"01045"	"2020 "	"2020"	11	48959	Unreliable	Unreliable	0.0%
	"DeKalb County, AL"	"01049"	"2011"	"2011"	10	71375	Unreliable	Unreliable	0.0%
	"DeKalb County, AL"	"01049"	"2012"	"2012"	12	71080	Unreliable	Unreliable	0.0%
	"DeKalb County, AL"	"01049"	"2015"	"2015"	12	71130	Unreliable	Unreliable	0.0%
	"DeKalb County, AL"	"01049"	"2016"	"2016"	14	70900	Unreliable	Unreliable	0.0%
	"DeKalb County, AL"	"01049"	"2017"	"2017"	11	71617	Unreliable	Unreliable	0.0%
	"DeKalb County, AL"	"01049"	"2018"	"2018"	10	71385	Unreliable	Unreliable	0.0%
	"DeKalb County, AL"	"01049"	"2019"	"2019"	20	71513	28.0	20.8	0.0%
	"DeKalb County, AL"	"01049"	"2020 "	"2020"	15	71658	Unreliable	Unreliable	0.0%
	"Elmore County, AL"	"01051"	"2010"	"2010"	10	79303	Unreliable	Unreliable	0.0%
	"Elmore County, AL"	"01051"	"2012"	"2012"	11	80629	Unreliable	Unreliable	0.0%
	"Elmore County, AL"	"01051"	"2015"	"2015"	17	81468	Unreliable	Unreliable	0.0%
	"Elmore County, AL"	"01051"	"2016"	"2016"	10	81799	Unreliable	Unreliable	0.0%
	"Elmore County, AL"	"01051"	"2019"	"2019"	13	81209	Unreliable	Unreliable	0.0%
	"Elmore County, AL"	"01051"	"2020 "	"2020"	19	82158	Unreliable	Unreliable	0.0%
	"Escambia County, AL"	"01053"	"2020 "	"2020"	10	36281	Unreliable	Unreliable	0.0%
	"Etowah County, AL"	"01055"	"1999"	"1999"	19	104002	Unreliable	Unreliable	0.0%
	"Etowah County, AL"	"01055"	"2000"	"2000"	17	103459	Unreliable	Unreliable	0.0%
	"Etowah County, AL"	"01055"	"2001"	"2001"	18	102976	Unreliable	Unreliable	0.0%
	"Etowah County, AL"	"01055"	"2002"	"2002"	11	102988	Unreliable	Unreliable	0.0%
	"Etowah County, AL"	"01055"	"2003"	"2003"	14	103025	Unreliable	Unreliable	0.0%
	"Etowah County, AL"	"01055"	"2004"	"2004"	21	103080	20.4	17.2	0.0%
	"Etowah County, AL"	"01055"	"2005"	"2005"	17	103174	Unreliable	Unreliable	0.0%
	"Etowah County, AL"	"01055"	"2006"	"2006"	18	103528	Unreliable	Unreliable	0.0%
	"Etowah County, AL"	"01055"	"2007"	"2007"	20	103893	19.3	16.4	0.0%
	"Etowah County, AL"	"01055"	"2008"	"2008"	13	104206	Unreliable	Unreliable	0.0%
	"Etowah County, AL"	"01055"	"2009"	"2009"	23	104239	22.1	17.7	0.0%
	"Etowah County, AL"	"01055"	"2010"	"2010"	18	104430	Unreliable	Unreliable	0.0%
	"Etowah County, AL"	"01055"	"2011"	"2011"	21	104303	20.1	16.0	0.0%
	"Etowah County, AL"	"01055"	"2012"	"2012"	16	104392	Unreliable	Unreliable	0.0%
	"Etowah County, AL"	"01055"	"2013"	"2013"	21	103931	20.2	14.3	0.0%
	"Etowah County, AL"	"01055"	"2014"	"2014"	26	103531	25.1	18.8	0.0%
	"Etowah County, AL"	"01055"	"2015"	"2015"	22	103057	21.3	16.0	0.0%
	"Etowah County, AL"	"01055"	"2016"	"2016"	18	102564	Unreliable	Unreliable	0.0%
	"Etowah County, AL"	"01055"	"2017"	"2017"	19	102755	Unreliable	Unreliable	0.0%
	"Etowah County, AL"	"01055"	"2018"	"2018"	12	102501	Unreliable	Unreliable	0.0%
	"Etowah County, AL"	"01055"	"2019"	"2019"	14	102268	Unreliable	Unreliable	0.0%
	"Etowah County, AL"	"01055"	"2020 "	"2020"	29	102371	28.3	21.9	0.0%
	"Geneva County, AL"	"01061"	"2014"	"2014"	10	26712	Unreliable	Unreliable	0.0%
	"Geneva County, AL"	"01061"	"2019"	"2019"	10	26271	Unreliable	Unreliable	0.0%
	"Houston County, AL"	"01069"	"2004"	"2004"	11	92593	Unreliable	Unreliable	0.0%
	"Houston County, AL"	"01069"	"2006"	"2006"	16	95846	Unreliable	Unreliable	0.0%
	"Houston County, AL"	"01069"	"2007"	"2007"	10	97727	Unreliable	Unreliable	0.0%
	"Houston County, AL"	"01069"	"2012"	"2012"	13	103402	Unreliable	Unreliable	0.0%
	"Houston County, AL"	"01069"	"2013"	"2013"	19	103668	Unreliable	Unreliable	0.0%
	"Houston County, AL"	"01069"	"2014"	"2014"	16	104193	Unreliable	Unreliable	0.0%
	"Houston County, AL"	"01069"	"2015"	"2015"	12	104173	Unreliable	Unreliable	0.0%
	"Houston County, AL"	"01069"	"2016"	"2016"	22	104056	21.1	17.2	0.0%
	"Houston County, AL"	"01069"	"2017"	"2017"	17	104346	Unreliable	Unreliable	0.0%
	"Houston County, AL"	"01069"	"2018"	"2018"	23	104722	22.0	16.7	0.0%
	"Houston County, AL"	"01069"	"2019"	"2019"	16	105882	Unreliable	Unreliable	0.0%
	"Houston County, AL"	"01069"	"2020 "	"2020"	28	106580	26.3	21.3	0.0%
	"Jackson County, AL"	"01071"	"2005"	"2005"	12	53332	Unreliable	Unreliable	0.0%
	"Jackson County, AL"	"01071"	"2013"	"2013"	11	52951	Unreliable	Unreliable	0.0%
	"Jackson County, AL"	"01071"	"2015"	"2015"	16	52419	Unreliable	Unreliable	0.0%
	"Jackson County, AL"	"01071"	"2017"	"2017"	13	51909	Unreliable	Unreliable	0.0%
	"Jackson County, AL"	"01071"	"2019"	"2019"	15	51626	Unreliable	Unreliable	0.0%
	"Jackson County, AL"	"01071"	"2020 "	"2020"	20	51582	38.8	25.6	0.0%
	"Jefferson County, AL"	"01073"	"1999"	"1999"	59	662845	8.9	8.7	0.0%
	"Jefferson County, AL"	"01073"	"2000"	"2000"	51	662047	7.7	7.6	0.0%
	"Jefferson County, AL"	"01073"	"2001"	"2001"	73	660197	11.1	10.7	0.0%
	"Jefferson County, AL"	"01073"	"2002"	"2002"	77	657518	11.7	11.2	0.0%
	"Jefferson County, AL"	"01073"	"2003"	"2003"	59	657513	9.0	8.4	0.0%
	"Jefferson County, AL"	"01073"	"2004"	"2004"	80	656023	12.2	11.6	0.0%
	"Jefferson County, AL"	"01073"	"2005"	"2005"	74	654919	11.3	10.5	0.0%
	"Jefferson County, AL"	"01073"	"2006"	"2006"	62	655893	9.5	8.7	0.0%
	"Jefferson County, AL"	"01073"	"2007"	"2007"	77	655163	11.8	10.7	0.0%
	"Jefferson County, AL"	"01073"	"2008"	"2008"	64	656510	9.7	8.8	0.0%
	"Jefferson County, AL"	"01073"	"2009"	"2009"	78	658441	11.8	10.5	0.0%
	"Jefferson County, AL"	"01073"	"2010"	"2010"	73	658466	11.1	9.9	0.0%
	"Jefferson County, AL"	"01073"	"2011"	"2011"	95	658931	14.4	12.5	0.0%
