"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate	% of Total Deaths
	"Autauga County, AL"	"01001"	"2012"	"2012"	11	55514	Unreliable	Unreliable	0.0%
	"Autauga County, AL"	"01001"	"2013"	"2013"	14	55246	Unreliable	Unreliable	0.0%
	"Autauga County, AL"	"01001"	"2020 "	"2020"	19	56145	Unreliable	Unreliable	0.0%
	"Baldwin County, AL"	"01003"	"1999"	"1999"	10	137555	Unreliable	Unreliable	0.0%
	"Baldwin County, AL"	"01003"	"2000"	"2000"	12	140415	Unreliable	Unreliable	0.0%
	"Baldwin County, AL"	"01003"	"2004"	"2004"	11	156266	Unreliable	Unreliable	0.0%
	"Baldwin County, AL"	"01003"	"2006"	"2006"	18	168121	Unreliable	Unreliable	0.0%
	"Baldwin County, AL"	"01003"	"2007"	"2007"	11	172404	Unreliable	Unreliable	0.0%
	"Baldwin County, AL"	"01003"	"2008"	"2008"	17	175827	Unreliable	Unreliable	0.0%
	"Baldwin County, AL"	"01003"	"2009"	"2009"	11	179406	Unreliable	Unreliable	0.0%
	"Baldwin County, AL"	"01003"	"2010"	"2010"	27	182265	14.8	11.7	0.0%
	"Baldwin County, AL"	"01003"	"2011"	"2011"	33	186717	17.7	13.9	0.0%
	"Baldwin County, AL"	"01003"	"2012"	"2012"	22	190790	11.5	9.1	0.0%
	"Baldwin County, AL"	"01003"	"2013"	"2013"	15	195540	Unreliable	Unreliable	0.0%
	"Baldwin County, AL"	"01003"	"2014"	"2014"	15	200111	Unreliable	Unreliable	0.0%
	"Baldwin County, AL"	"01003"	"2015"	"2015"	16	203709	Unreliable	Unreliable	0.0%
	"Baldwin County, AL"	"01003"	"2016"	"2016"	21	208563	10.1	7.8	0.0%
	"Baldwin County, AL"	"01003"	"2017"	"2017"	19	212628	Unreliable	Unreliable	0.0%
	"Baldwin County, AL"	"01003"	"2018"	"2018"	21	218022	9.6	6.7	0.0%
	"Baldwin County, AL"	"01003"	"2019"	"2019"	37	223234	16.6	10.6	0.0%
	"Baldwin County, AL"	"01003"	"2020 "	"2020"	27	229287	11.8	7.7	0.0%
	"Butler County, AL"	"01013"	"2012"	"2012"	11	20307	Unreliable	Unreliable	0.0%
	"Butler County, AL"	"01013"	"2014"	"2014"	14	20296	Unreliable	Unreliable	0.0%
	"Butler County, AL"	"01013"	"2016"	"2016"	10	19998	Unreliable	Unreliable	0.0%
	"Butler County, AL"	"01013"	"2017"	"2017"	11	19825	Unreliable	Unreliable	0.0%
	"Calhoun County, AL"	"01015"	"2003"	"2003"	19	112705	Unreliable	Unreliable	0.0%
	"Calhoun County, AL"	"01015"	"2005"	"2005"	12	114477	Unreliable	Unreliable	0.0%
	"Calhoun County, AL"	"01015"	"2019"	"2019"	12	113605	Unreliable	Unreliable	0.0%
	"Chambers County, AL"	"01017"	"2010"	"2010"	14	34215	Unreliable	Unreliable	0.0%
	"Chambers County, AL"	"01017"	"2013"	"2013"	13	34162	Unreliable	Unreliable	0.0%
	"Chambers County, AL"	"01017"	"2015"	"2015"	12	34123	Unreliable	Unreliable	0.0%
	"Chambers County, AL"	"01017"	"2018"	"2018"	11	33615	Unreliable	Unreliable	0.0%
	"Colbert County, AL"	"01033"	"2015"	"2015"	13	54354	Unreliable	Unreliable	0.0%
	"Colbert County, AL"	"01033"	"2016"	"2016"	11	54216	Unreliable	Unreliable	0.0%
	"Cullman County, AL"	"01043"	"2006"	"2006"	10	79044	Unreliable	Unreliable	0.0%
	"Cullman County, AL"	"01043"	"2007"	"2007"	12	79576	Unreliable	Unreliable	0.0%
	"Cullman County, AL"	"01043"	"2009"	"2009"	10	80351	Unreliable	Unreliable	0.0%
	"Cullman County, AL"	"01043"	"2012"	"2012"	24	80440	29.8	22.6	0.0%
	"Cullman County, AL"	"01043"	"2013"	"2013"	41	80811	50.7	41.5	0.0%
	"Cullman County, AL"	"01043"	"2014"	"2014"	32	81289	39.4	32.7	0.0%
	"Cullman County, AL"	"01043"	"2015"	"2015"	17	82005	Unreliable	Unreliable	0.0%
	"Cullman County, AL"	"01043"	"2016"	"2016"	17	82471	Unreliable	Unreliable	0.0%
	"Cullman County, AL"	"01043"	"2017"	"2017"	16	82755	Unreliable	Unreliable	0.0%
	"Cullman County, AL"	"01043"	"2018"	"2018"	15	83442	Unreliable	Unreliable	0.0%
	"Cullman County, AL"	"01043"	"2020 "	"2020"	10	84515	Unreliable	Unreliable	0.0%
	"Dale County, AL"	"01045"	"2013"	"2013"	14	49884	Unreliable	Unreliable	0.0%
	"Dale County, AL"	"01045"	"2014"	"2014"	10	49484	Unreliable	Unreliable	0.0%
	"Dale County, AL"	"01045"	"2015"	"2015"	10	49565	Unreliable	Unreliable	0.0%
	"Dale County, AL"	"01045"	"2017"	"2017"	12	49226	Unreliable	Unreliable	0.0%
	"Dale County, AL"	"01045"	"2018"	"2018"	11	48956	Unreliable	Unreliable	0.0%
	"Dale County, AL"	"01045"	"2019"	"2019"	16	49172	Unreliable	Unreliable	0.0%
	"DeKalb County, AL"	"01049"	"2013"	"2013"	10	71013	Unreliable	Unreliable	0.0%
	"DeKalb County, AL"	"01049"	"2020 "	"2020"	18	71658	Unreliable	Unreliable	0.0%
	"Elmore County, AL"	"01051"	"2014"	"2014"	10	80977	Unreliable	Unreliable	0.0%
	"Elmore County, AL"	"01051"	"2017"	"2017"	10	81677	Unreliable	Unreliable	0.0%
	"Elmore County, AL"	"01051"	"2018"	"2018"	18	81887	Unreliable	Unreliable	0.0%
	"Elmore County, AL"	"01051"	"2019"	"2019"	14	81209	Unreliable	Unreliable	0.0%
	"Escambia County, AL"	"01053"	"2005"	"2005"	10	37601	Unreliable	Unreliable	0.0%
	"Escambia County, AL"	"01053"	"2011"	"2011"	16	38095	Unreliable	Unreliable	0.0%
	"Escambia County, AL"	"01053"	"2014"	"2014"	10	37733	Unreliable	Unreliable	0.0%
	"Escambia County, AL"	"01053"	"2020 "	"2020"	13	36281	Unreliable	Unreliable	0.0%
	"Etowah County, AL"	"01055"	"2005"	"2005"	15	103174	Unreliable	Unreliable	0.0%
	"Etowah County, AL"	"01055"	"2008"	"2008"	10	104206	Unreliable	Unreliable	0.0%
	"Etowah County, AL"	"01055"	"2009"	"2009"	13	104239	Unreliable	Unreliable	0.0%
	"Etowah County, AL"	"01055"	"2011"	"2011"	11	104303	Unreliable	Unreliable	0.0%
	"Etowah County, AL"	"01055"	"2012"	"2012"	12	104392	Unreliable	Unreliable	0.0%
	"Etowah County, AL"	"01055"	"2015"	"2015"	12	103057	Unreliable	Unreliable	0.0%
	"Etowah County, AL"	"01055"	"2016"	"2016"	11	102564	Unreliable	Unreliable	0.0%
	"Etowah County, AL"	"01055"	"2017"	"2017"	22	102755	21.4	16.9	0.0%
	"Etowah County, AL"	"01055"	"2018"	"2018"	25	102501	24.4	18.0	0.0%
	"Etowah County, AL"	"01055"	"2019"	"2019"	17	102268	Unreliable	Unreliable	0.0%
	"Etowah County, AL"	"01055"	"2020 "	"2020"	32	102371	31.3	22.9	0.0%
	"Geneva County, AL"	"01061"	"2020 "	"2020"	12	26411	Unreliable	Unreliable	0.0%
	"Houston County, AL"	"01069"	"2008"	"2008"	15	99183	Unreliable	Unreliable	0.0%
	"Houston County, AL"	"01069"	"2009"	"2009"	14	100500	Unreliable	Unreliable	0.0%
	"Houston County, AL"	"01069"	"2010"	"2010"	19	101547	Unreliable	Unreliable	0.0%
	"Houston County, AL"	"01069"	"2011"	"2011"	16	102369	Unreliable	Unreliable	0.0%
	"Houston County, AL"	"01069"	"2012"	"2012"	19	103402	Unreliable	Unreliable	0.0%
	"Houston County, AL"	"01069"	"2013"	"2013"	19	103668	Unreliable	Unreliable	0.0%
	"Houston County, AL"	"01069"	"2014"	"2014"	19	104193	Unreliable	Unreliable	0.0%
	"Houston County, AL"	"01069"	"2015"	"2015"	15	104173	Unreliable	Unreliable	0.0%
	"Houston County, AL"	"01069"	"2016"	"2016"	16	104056	Unreliable	Unreliable	0.0%
	"Houston County, AL"	"01069"	"2017"	"2017"	19	104346	Unreliable	Unreliable	0.0%
	"Houston County, AL"	"01069"	"2018"	"2018"	15	104722	Unreliable	Unreliable	0.0%
	"Houston County, AL"	"01069"	"2019"	"2019"	24	105882	22.7	16.8	0.0%
	"Houston County, AL"	"01069"	"2020 "	"2020"	10	106580	Unreliable	Unreliable	0.0%
	"Jefferson County, AL"	"01073"	"1999"	"1999"	76	662845	11.5	10.7	0.0%
	"Jefferson County, AL"	"01073"	"2000"	"2000"	85	662047	12.8	12.0	0.0%
	"Jefferson County, AL"	"01073"	"2001"	"2001"	108	660197	16.4	15.3	0.0%
	"Jefferson County, AL"	"01073"	"2002"	"2002"	75	657518	11.4	10.7	0.0%
	"Jefferson County, AL"	"01073"	"2003"	"2003"	101	657513	15.4	14.4	0.0%
	"Jefferson County, AL"	"01073"	"2004"	"2004"	99	656023	15.1	14.1	0.0%
	"Jefferson County, AL"	"01073"	"2005"	"2005"	87	654919	13.3	12.4	0.0%
	"Jefferson County, AL"	"01073"	"2006"	"2006"	85	655893	13.0	12.1	0.0%
	"Jefferson County, AL"	"01073"	"2007"	"2007"	104	655163	15.9	14.6	0.0%
	"Jefferson County, AL"	"01073"	"2008"	"2008"	78	656510	11.9	10.7	0.0%
	"Jefferson County, AL"	"01073"	"2009"	"2009"	79	658441	12.0	10.9	0.0%
	"Jefferson County, AL"	"01073"	"2010"	"2010"	88	658466	13.4	12.1	0.0%
	"Jefferson County, AL"	"01073"	"2011"	"2011"	95	658931	14.4	12.9	0.0%
	"Jefferson County, AL"	"01073"	"2012"	"2012"	78	660009	11.8	10.4	0.0%
	"Jefferson County, AL"	"01073"	"2013"	"2013"	74	659479	11.2	9.8	0.0%
	"Jefferson County, AL"	"01073"	"2014"	"2014"	84	660793	12.7	10.7	0.0%
	"Jefferson County, AL"	"01073"	"2015"	"2015"	55	660367	8.3	7.3	0.0%
	"Jefferson County, AL"	"01073"	"2016"	"2016"	59	659521	8.9	7.8	0.0%
	"Jefferson County, AL"	"01073"	"2017"	"2017"	63	659197	9.6	8.0	0.0%
	"Jefferson County, AL"	"01073"	"2018"	"2018"	64	659300	9.7	7.9	0.0%
	"Jefferson County, AL"	"01073"	"2019"	"2019"	60	658573	9.1	7.6	0.0%
	"Jefferson County, AL"	"01073"	"2020 "	"2020"	95	655342	14.5	11.8	0.0%
	"Lauderdale County, AL"	"01077"	"2008"	"2008"	15	92202	Unreliable	Unreliable	0.0%
	"Lauderdale County, AL"	"01077"	"2010"	"2010"	15	92709	Unreliable	Unreliable	0.0%
	"Lauderdale County, AL"	"01077"	"2011"	"2011"	15	92781	Unreliable	Unreliable	0.0%
	"Lauderdale County, AL"	"01077"	"2012"	"2012"	21	92542	22.7	18.6	0.0%
	"Lauderdale County, AL"	"01077"	"2013"	"2013"	13	92797	Unreliable	Unreliable	0.0%
	"Lauderdale County, AL"	"01077"	"2014"	"2014"	12	93096	Unreliable	Unreliable	0.0%
	"Lauderdale County, AL"	"01077"	"2016"	"2016"	12	92318	Unreliable	Unreliable	0.0%
	"Lauderdale County, AL"	"01077"	"2017"	"2017"	11	92538	Unreliable	Unreliable	0.0%
	"Lauderdale County, AL"	"01077"	"2019"	"2019"	15	92729	Unreliable	Unreliable	0.0%
	"Lauderdale County, AL"	"01077"	"2020 "	"2020"	30	93368	32.1	23.3	0.0%
	"Lawrence County, AL"	"01079"	"2020 "	"2020"	10	32857	Unreliable	Unreliable	0.0%
	"Lee County, AL"	"01081"	"2005"	"2005"	10	126133	Unreliable	Unreliable	0.0%
	"Lee County, AL"	"01081"	"2008"	"2008"	10	134524	Unreliable	Unreliable	0.0%
	"Lee County, AL"	"01081"	"2010"	"2010"	10	140247	Unreliable	Unreliable	0.0%
	"Lee County, AL"	"01081"	"2013"	"2013"	16	150933	Unreliable	Unreliable	0.0%
	"Lee County, AL"	"01081"	"2014"	"2014"	21	154255	13.6	16.8	0.0%
	"Lee County, AL"	"01081"	"2015"	"2015"	10	156993	Unreliable	Unreliable	0.0%
	"Lee County, AL"	"01081"	"2016"	"2016"	17	158991	Unreliable	Unreliable	0.0%
	"Lee County, AL"	"01081"	"2017"	"2017"	17	161604	Unreliable	Unreliable	0.0%
	"Lee County, AL"	"01081"	"2018"	"2018"	14	163941	Unreliable	Unreliable	0.0%
	"Lee County, AL"	"01081"	"2019"	"2019"	18	164542	Unreliable	Unreliable	0.0%
	"Lee County, AL"	"01081"	"2020 "	"2020"	16	166831	Unreliable	Unreliable	0.0%
	"Limestone County, AL"	"01083"	"2007"	"2007"	12	76063	Unreliable	Unreliable	0.0%
	"Limestone County, AL"	"01083"	"2008"	"2008"	11	78835	Unreliable	Unreliable	0.0%
	"Limestone County, AL"	"01083"	"2010"	"2010"	17	82782	Unreliable	Unreliable	0.0%
	"Limestone County, AL"	"01083"	"2017"	"2017"	11	94402	Unreliable	Unreliable	0.0%
	"Limestone County, AL"	"01083"	"2019"	"2019"	12	98915	Unreliable	Unreliable	0.0%
	"Limestone County, AL"	"01083"	"2020 "	"2020"	21	102228	20.5	16.8	0.0%
	"Madison County, AL"	"01089"	"1999"	"1999"	13	274692	Unreliable	Unreliable	0.0%
	"Madison County, AL"	"01089"	"2000"	"2000"	17	276700	Unreliable	Unreliable	0.0%
	"Madison County, AL"	"01089"	"2001"	"2001"	17	281517	Unreliable	Unreliable	0.0%
	"Madison County, AL"	"01089"	"2002"	"2002"	20	286439	7.0	9.0	0.0%
	"Madison County, AL"	"01089"	"2003"	"2003"	29	291342	10.0	11.8	0.0%
	"Madison County, AL"	"01089"	"2004"	"2004"	36	295655	12.2	13.6	0.0%
	"Madison County, AL"	"01089"	"2005"	"2005"	24	301474	8.0	9.2	0.0%
	"Madison County, AL"	"01089"	"2006"	"2006"	39	309170	12.6	13.3	0.0%
	"Madison County, AL"	"01089"	"2007"	"2007"	39	315859	12.3	12.8	0.0%
	"Madison County, AL"	"01089"	"2008"	"2008"	34	323526	10.5	10.8	0.0%
	"Madison County, AL"	"01089"	"2009"	"2009"	56	330856	16.9	16.9	0.0%
	"Madison County, AL"	"01089"	"2010"	"2010"	48	334811	14.3	14.3	0.0%
	"Madison County, AL"	"01089"	"2011"	"2011"	28	340111	8.2	8.5	0.0%
	"Madison County, AL"	"01089"	"2012"	"2012"	16	343080	Unreliable	Unreliable	0.0%
	"Madison County, AL"	"01089"	"2013"	"2013"	23	346892	6.6	6.4	0.0%
	"Madison County, AL"	"01089"	"2014"	"2014"	20	350299	5.7	5.3	0.0%
	"Madison County, AL"	"01089"	"2015"	"2015"	33	353089	9.3	8.4	0.0%
	"Madison County, AL"	"01089"	"2016"	"2016"	48	356967	13.4	11.8	0.0%
	"Madison County, AL"	"01089"	"2017"	"2017"	27	361046	7.5	6.3	0.0%
	"Madison County, AL"	"01089"	"2018"	"2018"	23	366519	6.3	5.6	0.0%
	"Madison County, AL"	"01089"	"2019"	"2019"	17	372909	Unreliable	Unreliable	0.0%
	"Madison County, AL"	"01089"	"2020 "	"2020"	28	379453	7.4	6.2	0.0%
	"Marshall County, AL"	"01095"	"2012"	"2012"	10	94776	Unreliable	Unreliable	0.0%
	"Marshall County, AL"	"01095"	"2016"	"2016"	11	95157	Unreliable	Unreliable	0.0%
	"Marshall County, AL"	"01095"	"2018"	"2018"	15	96109	Unreliable	Unreliable	0.0%
	"Marshall County, AL"	"01095"	"2019"	"2019"	23	96774	23.8	19.9	0.0%
	"Mobile County, AL"	"01097"	"1999"	"1999"	32	399323	8.0	8.7	0.0%
	"Mobile County, AL"	"01097"	"2000"	"2000"	26	399843	6.5	7.0	0.0%
	"Mobile County, AL"	"01097"	"2001"	"2001"	40	400129	10.0	10.6	0.0%
	"Mobile County, AL"	"01097"	"2002"	"2002"	31	398549	7.8	8.4	0.0%
	"Mobile County, AL"	"01097"	"2003"	"2003"	34	398082	8.5	9.1	0.0%
	"Mobile County, AL"	"01097"	"2004"	"2004"	32	397959	8.0	8.7	0.0%
	"Mobile County, AL"	"01097"	"2005"	"2005"	46	398942	11.5	11.8	0.0%
	"Mobile County, AL"	"01097"	"2006"	"2006"	42	402916	10.4	10.5	0.0%
	"Mobile County, AL"	"01097"	"2007"	"2007"	49	405715	12.1	12.1	0.0%
	"Mobile County, AL"	"01097"	"2008"	"2008"	40	409196	9.8	9.3	0.0%
	"Mobile County, AL"	"01097"	"2009"	"2009"	56	411994	13.6	12.9	0.0%
	"Mobile County, AL"	"01097"	"2010"	"2010"	63	412992	15.3	14.5	0.0%
	"Mobile County, AL"	"01097"	"2011"	"2011"	54	412577	13.1	12.4	0.0%
	"Mobile County, AL"	"01097"	"2012"	"2012"	38	413936	9.2	8.3	0.0%
	"Mobile County, AL"	"01097"	"2013"	"2013"	50	414079	12.1	10.8	0.0%
	"Mobile County, AL"	"01097"	"2014"	"2014"	53	415123	12.8	12.0	0.0%
	"Mobile County, AL"	"01097"	"2015"	"2015"	47	415395	11.3	9.8	0.0%
