"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate	% of Total Deaths
	"Autauga County, AL"	"01001"	"2008"	"2008"	10	53277	Unreliable	Unreliable	0.0%
	"Autauga County, AL"	"01001"	"2012"	"2012"	10	55514	Unreliable	Unreliable	0.0%
	"Autauga County, AL"	"01001"	"2013"	"2013"	13	55246	Unreliable	Unreliable	0.0%
	"Autauga County, AL"	"01001"	"2014"	"2014"	11	55395	Unreliable	Unreliable	0.0%
	"Autauga County, AL"	"01001"	"2018"	"2018"	12	55601	Unreliable	Unreliable	0.0%
	"Baldwin County, AL"	"01003"	"1999"	"1999"	20	137555	14.5	13.7	0.0%
	"Baldwin County, AL"	"01003"	"2000"	"2000"	22	140415	15.7	13.9	0.0%
	"Baldwin County, AL"	"01003"	"2001"	"2001"	20	144875	13.8	12.3	0.0%
	"Baldwin County, AL"	"01003"	"2002"	"2002"	24	147957	16.2	15.1	0.0%
	"Baldwin County, AL"	"01003"	"2003"	"2003"	29	151509	19.1	16.6	0.0%
	"Baldwin County, AL"	"01003"	"2004"	"2004"	25	156266	16.0	14.4	0.0%
	"Baldwin County, AL"	"01003"	"2005"	"2005"	18	162183	Unreliable	Unreliable	0.0%
	"Baldwin County, AL"	"01003"	"2006"	"2006"	23	168121	13.7	12.4	0.0%
	"Baldwin County, AL"	"01003"	"2007"	"2007"	19	172404	Unreliable	Unreliable	0.0%
	"Baldwin County, AL"	"01003"	"2008"	"2008"	15	175827	Unreliable	Unreliable	0.0%
	"Baldwin County, AL"	"01003"	"2009"	"2009"	27	179406	15.0	12.6	0.0%
	"Baldwin County, AL"	"01003"	"2010"	"2010"	21	182265	11.5	9.2	0.0%
	"Baldwin County, AL"	"01003"	"2011"	"2011"	21	186717	11.2	9.3	0.0%
	"Baldwin County, AL"	"01003"	"2012"	"2012"	23	190790	12.1	10.2	0.0%
	"Baldwin County, AL"	"01003"	"2013"	"2013"	22	195540	11.3	9.1	0.0%
	"Baldwin County, AL"	"01003"	"2014"	"2014"	39	200111	19.5	15.6	0.0%
	"Baldwin County, AL"	"01003"	"2015"	"2015"	40	203709	19.6	14.7	0.0%
	"Baldwin County, AL"	"01003"	"2016"	"2016"	24	208563	11.5	9.0	0.0%
	"Baldwin County, AL"	"01003"	"2017"	"2017"	35	212628	16.5	12.3	0.0%
	"Baldwin County, AL"	"01003"	"2018"	"2018"	34	218022	15.6	11.4	0.0%
	"Baldwin County, AL"	"01003"	"2019"	"2019"	36	223234	16.1	12.0	0.0%
	"Baldwin County, AL"	"01003"	"2020 "	"2020"	35	229287	15.3	10.8	0.0%
	"Barbour County, AL"	"01005"	"2001"	"2001"	10	28863	Unreliable	Unreliable	0.0%
	"Bibb County, AL"	"01007"	"1999"	"1999"	10	20560	Unreliable	Unreliable	0.0%
	"Bibb County, AL"	"01007"	"2018"	"2018"	12	22400	Unreliable	Unreliable	0.0%
	"Bibb County, AL"	"01007"	"2020 "	"2020"	10	22136	Unreliable	Unreliable	0.0%
	"Blount County, AL"	"01009"	"1999"	"1999"	14	50237	Unreliable	Unreliable	0.0%
	"Blount County, AL"	"01009"	"2000"	"2000"	18	51024	Unreliable	Unreliable	0.0%
	"Blount County, AL"	"01009"	"2001"	"2001"	16	51845	Unreliable	Unreliable	0.0%
	"Blount County, AL"	"01009"	"2002"	"2002"	27	52551	51.4	53.9	0.0%
	"Blount County, AL"	"01009"	"2003"	"2003"	22	53457	41.2	46.2	0.0%
	"Blount County, AL"	"01009"	"2004"	"2004"	27	54124	49.9	53.0	0.0%
	"Blount County, AL"	"01009"	"2005"	"2005"	22	54624	40.3	39.8	0.0%
	"Blount County, AL"	"01009"	"2006"	"2006"	14	55485	Unreliable	Unreliable	0.0%
	"Blount County, AL"	"01009"	"2007"	"2007"	15	56240	Unreliable	Unreliable	0.0%
	"Blount County, AL"	"01009"	"2008"	"2008"	18	57055	Unreliable	Unreliable	0.0%
	"Blount County, AL"	"01009"	"2009"	"2009"	15	57341	Unreliable	Unreliable	0.0%
	"Blount County, AL"	"01009"	"2010"	"2010"	26	57322	45.4	47.0	0.0%
	"Blount County, AL"	"01009"	"2011"	"2011"	20	57677	34.7	34.4	0.0%
	"Blount County, AL"	"01009"	"2012"	"2012"	14	57826	Unreliable	Unreliable	0.0%
	"Blount County, AL"	"01009"	"2013"	"2013"	22	57872	38.0	32.7	0.0%
	"Blount County, AL"	"01009"	"2014"	"2014"	22	57719	38.1	32.2	0.0%
	"Blount County, AL"	"01009"	"2015"	"2015"	23	57673	39.9	34.3	0.0%
	"Blount County, AL"	"01009"	"2016"	"2016"	26	57704	45.1	36.2	0.0%
	"Blount County, AL"	"01009"	"2017"	"2017"	24	58013	41.4	31.0	0.0%
	"Blount County, AL"	"01009"	"2018"	"2018"	27	57840	46.7	37.5	0.0%
	"Blount County, AL"	"01009"	"2019"	"2019"	17	57826	Unreliable	Unreliable	0.0%
	"Blount County, AL"	"01009"	"2020 "	"2020"	12	57879	Unreliable	Unreliable	0.0%
	"Butler County, AL"	"01013"	"1999"	"1999"	10	21605	Unreliable	Unreliable	0.0%
	"Butler County, AL"	"01013"	"2001"	"2001"	14	21139	Unreliable	Unreliable	0.0%
	"Butler County, AL"	"01013"	"2003"	"2003"	12	20833	Unreliable	Unreliable	0.0%
	"Butler County, AL"	"01013"	"2005"	"2005"	11	20830	Unreliable	Unreliable	0.0%
	"Calhoun County, AL"	"01015"	"1999"	"1999"	41	114910	35.7	37.4	0.0%
	"Calhoun County, AL"	"01015"	"2000"	"2000"	32	112249	28.5	28.0	0.0%
	"Calhoun County, AL"	"01015"	"2001"	"2001"	39	111266	35.1	34.5	0.0%
	"Calhoun County, AL"	"01015"	"2002"	"2002"	29	111625	26.0	26.1	0.0%
	"Calhoun County, AL"	"01015"	"2003"	"2003"	34	112705	30.2	28.5	0.0%
	"Calhoun County, AL"	"01015"	"2004"	"2004"	32	113462	28.2	28.1	0.0%
	"Calhoun County, AL"	"01015"	"2005"	"2005"	37	114477	32.3	30.7	0.0%
	"Calhoun County, AL"	"01015"	"2006"	"2006"	37	115388	32.1	30.3	0.0%
	"Calhoun County, AL"	"01015"	"2007"	"2007"	39	116211	33.6	32.1	0.0%
	"Calhoun County, AL"	"01015"	"2008"	"2008"	36	117274	30.7	28.8	0.0%
	"Calhoun County, AL"	"01015"	"2009"	"2009"	43	118363	36.3	34.2	0.0%
	"Calhoun County, AL"	"01015"	"2010"	"2010"	58	118572	48.9	44.5	0.0%
	"Calhoun County, AL"	"01015"	"2011"	"2011"	31	117797	26.3	24.2	0.0%
	"Calhoun County, AL"	"01015"	"2012"	"2012"	51	117296	43.5	39.0	0.0%
	"Calhoun County, AL"	"01015"	"2013"	"2013"	49	116736	42.0	36.4	0.0%
	"Calhoun County, AL"	"01015"	"2014"	"2014"	44	115916	38.0	34.3	0.0%
	"Calhoun County, AL"	"01015"	"2015"	"2015"	29	115620	25.1	20.4	0.0%
	"Calhoun County, AL"	"01015"	"2016"	"2016"	27	114611	23.6	19.6	0.0%
	"Calhoun County, AL"	"01015"	"2017"	"2017"	43	114728	37.5	30.5	0.0%
	"Calhoun County, AL"	"01015"	"2018"	"2018"	26	114277	22.8	18.0	0.0%
	"Calhoun County, AL"	"01015"	"2019"	"2019"	26	113605	22.9	17.8	0.0%
	"Calhoun County, AL"	"01015"	"2020 "	"2020"	35	113469	30.8	24.4	0.0%
	"Chambers County, AL"	"01017"	"1999"	"1999"	10	36527	Unreliable	Unreliable	0.0%
	"Chambers County, AL"	"01017"	"2002"	"2002"	10	35965	Unreliable	Unreliable	0.0%
	"Chambers County, AL"	"01017"	"2012"	"2012"	10	34064	Unreliable	Unreliable	0.0%
	"Chambers County, AL"	"01017"	"2013"	"2013"	14	34162	Unreliable	Unreliable	0.0%
	"Chambers County, AL"	"01017"	"2017"	"2017"	14	33713	Unreliable	Unreliable	0.0%
	"Cherokee County, AL"	"01019"	"2000"	"2000"	10	23988	Unreliable	Unreliable	0.0%
	"Cherokee County, AL"	"01019"	"2001"	"2001"	12	24182	Unreliable	Unreliable	0.0%
	"Cherokee County, AL"	"01019"	"2002"	"2002"	12	24403	Unreliable	Unreliable	0.0%
	"Cherokee County, AL"	"01019"	"2003"	"2003"	10	24591	Unreliable	Unreliable	0.0%
	"Cherokee County, AL"	"01019"	"2009"	"2009"	15	25854	Unreliable	Unreliable	0.0%
	"Cherokee County, AL"	"01019"	"2012"	"2012"	10	26021	Unreliable	Unreliable	0.0%
	"Cherokee County, AL"	"01019"	"2014"	"2014"	10	26037	Unreliable	Unreliable	0.0%
	"Cherokee County, AL"	"01019"	"2016"	"2016"	11	25725	Unreliable	Unreliable	0.0%
	"Cherokee County, AL"	"01019"	"2018"	"2018"	11	26032	Unreliable	Unreliable	0.0%
	"Cherokee County, AL"	"01019"	"2020 "	"2020"	10	26294	Unreliable	Unreliable	0.0%
	"Chilton County, AL"	"01021"	"1999"	"1999"	15	38862	Unreliable	Unreliable	0.0%
	"Chilton County, AL"	"01021"	"2000"	"2000"	13	39593	Unreliable	Unreliable	0.0%
	"Chilton County, AL"	"01021"	"2001"	"2001"	10	40197	Unreliable	Unreliable	0.0%
	"Chilton County, AL"	"01021"	"2002"	"2002"	15	40683	Unreliable	Unreliable	0.0%
	"Chilton County, AL"	"01021"	"2003"	"2003"	17	41079	Unreliable	Unreliable	0.0%
	"Chilton County, AL"	"01021"	"2004"	"2004"	10	41534	Unreliable	Unreliable	0.0%
	"Chilton County, AL"	"01021"	"2005"	"2005"	11	41946	Unreliable	Unreliable	0.0%
	"Chilton County, AL"	"01021"	"2009"	"2009"	18	43484	Unreliable	Unreliable	0.0%
	"Chilton County, AL"	"01021"	"2010"	"2010"	15	43643	Unreliable	Unreliable	0.0%
	"Chilton County, AL"	"01021"	"2011"	"2011"	14	43895	Unreliable	Unreliable	0.0%
	"Chilton County, AL"	"01021"	"2012"	"2012"	13	43819	Unreliable	Unreliable	0.0%
	"Chilton County, AL"	"01021"	"2014"	"2014"	11	43931	Unreliable	Unreliable	0.0%
	"Chilton County, AL"	"01021"	"2015"	"2015"	13	43943	Unreliable	Unreliable	0.0%
	"Chilton County, AL"	"01021"	"2017"	"2017"	11	44067	Unreliable	Unreliable	0.0%
	"Chilton County, AL"	"01021"	"2018"	"2018"	15	44153	Unreliable	Unreliable	0.0%
	"Chilton County, AL"	"01021"	"2019"	"2019"	15	44428	Unreliable	Unreliable	0.0%
	"Chilton County, AL"	"01021"	"2020 "	"2020"	15	44397	Unreliable	Unreliable	0.0%
	"Clarke County, AL"	"01025"	"2000"	"2000"	12	27867	Unreliable	Unreliable	0.0%
	"Clarke County, AL"	"01025"	"2002"	"2002"	12	27267	Unreliable	Unreliable	0.0%
	"Clarke County, AL"	"01025"	"2020 "	"2020"	11	23291	Unreliable	Unreliable	0.0%
	"Clay County, AL"	"01027"	"2009"	"2009"	10	14006	Unreliable	Unreliable	0.0%
	"Cleburne County, AL"	"01029"	"2012"	"2012"	10	14832	Unreliable	Unreliable	0.0%
	"Coffee County, AL"	"01031"	"1999"	"1999"	13	43667	Unreliable	Unreliable	0.0%
	"Coffee County, AL"	"01031"	"2000"	"2000"	11	43615	Unreliable	Unreliable	0.0%
	"Coffee County, AL"	"01031"	"2002"	"2002"	14	43930	Unreliable	Unreliable	0.0%
	"Coffee County, AL"	"01031"	"2003"	"2003"	19	44315	Unreliable	Unreliable	0.0%
	"Coffee County, AL"	"01031"	"2004"	"2004"	13	45053	Unreliable	Unreliable	0.0%
	"Coffee County, AL"	"01031"	"2008"	"2008"	17	48516	Unreliable	Unreliable	0.0%
