"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate	% of Total Deaths
	"Autauga County, AL"	"01001"	"2001"	"2001"	12	44889	Unreliable	Unreliable	0.0%
	"Autauga County, AL"	"01001"	"2003"	"2003"	10	46800	Unreliable	Unreliable	0.0%
	"Autauga County, AL"	"01001"	"2008"	"2008"	10	53277	Unreliable	Unreliable	0.0%
	"Autauga County, AL"	"01001"	"2012"	"2012"	10	55514	Unreliable	Unreliable	0.0%
	"Autauga County, AL"	"01001"	"2017"	"2017"	11	55504	Unreliable	Unreliable	0.0%
	"Autauga County, AL"	"01001"	"2019"	"2019"	12	55869	Unreliable	Unreliable	0.0%
	"Autauga County, AL"	"01001"	"2020 "	"2020"	10	56145	Unreliable	Unreliable	0.0%
	"Baldwin County, AL"	"01003"	"1999"	"1999"	13	137555	Unreliable	Unreliable	0.0%
	"Baldwin County, AL"	"01003"	"2000"	"2000"	19	140415	Unreliable	Unreliable	0.0%
	"Baldwin County, AL"	"01003"	"2001"	"2001"	22	144875	15.2	13.1	0.0%
	"Baldwin County, AL"	"01003"	"2002"	"2002"	26	147957	17.6	14.8	0.0%
	"Baldwin County, AL"	"01003"	"2003"	"2003"	19	151509	Unreliable	Unreliable	0.0%
	"Baldwin County, AL"	"01003"	"2004"	"2004"	19	156266	Unreliable	Unreliable	0.0%
	"Baldwin County, AL"	"01003"	"2005"	"2005"	25	162183	15.4	13.4	0.0%
	"Baldwin County, AL"	"01003"	"2006"	"2006"	22	168121	13.1	11.7	0.0%
	"Baldwin County, AL"	"01003"	"2007"	"2007"	21	172404	12.2	10.2	0.0%
	"Baldwin County, AL"	"01003"	"2008"	"2008"	32	175827	18.2	14.9	0.0%
	"Baldwin County, AL"	"01003"	"2009"	"2009"	27	179406	15.0	12.9	0.0%
	"Baldwin County, AL"	"01003"	"2010"	"2010"	33	182265	18.1	15.0	0.0%
	"Baldwin County, AL"	"01003"	"2011"	"2011"	22	186717	11.8	9.6	0.0%
	"Baldwin County, AL"	"01003"	"2012"	"2012"	26	190790	13.6	10.8	0.0%
	"Baldwin County, AL"	"01003"	"2013"	"2013"	34	195540	17.4	13.4	0.0%
	"Baldwin County, AL"	"01003"	"2014"	"2014"	36	200111	18.0	14.1	0.0%
	"Baldwin County, AL"	"01003"	"2015"	"2015"	34	203709	16.7	12.3	0.0%
	"Baldwin County, AL"	"01003"	"2016"	"2016"	47	208563	22.5	16.2	0.0%
	"Baldwin County, AL"	"01003"	"2017"	"2017"	35	212628	16.5	11.9	0.0%
	"Baldwin County, AL"	"01003"	"2018"	"2018"	34	218022	15.6	10.9	0.0%
	"Baldwin County, AL"	"01003"	"2019"	"2019"	37	223234	16.6	12.0	0.0%
	"Baldwin County, AL"	"01003"	"2020 "	"2020"	55	229287	24.0	15.9	0.0%
	"Barbour County, AL"	"01005"	"2016"	"2016"	11	25965	Unreliable	Unreliable	0.0%
	"Barbour County, AL"	"01005"	"2017"	"2017"	10	25270	Unreliable	Unreliable	0.0%
	"Barbour County, AL"	"01005"	"2019"	"2019"	12	24686	Unreliable	Unreliable	0.0%
	"Barbour County, AL"	"01005"	"2020 "	"2020"	16	24589	Unreliable	Unreliable	0.0%
	"Blount County, AL"	"01009"	"1999"	"1999"	13	50237	Unreliable	Unreliable	0.0%
	"Blount County, AL"	"01009"	"2002"	"2002"	14	52551	Unreliable	Unreliable	0.0%
	"Blount County, AL"	"01009"	"2003"	"2003"	15	53457	Unreliable	Unreliable	0.0%
	"Blount County, AL"	"01009"	"2004"	"2004"	18	54124	Unreliable	Unreliable	0.0%
	"Blount County, AL"	"01009"	"2005"	"2005"	13	54624	Unreliable	Unreliable	0.0%
	"Blount County, AL"	"01009"	"2007"	"2007"	16	56240	Unreliable	Unreliable	0.0%
	"Blount County, AL"	"01009"	"2008"	"2008"	12	57055	Unreliable	Unreliable	0.0%
	"Blount County, AL"	"01009"	"2009"	"2009"	10	57341	Unreliable	Unreliable	0.0%
	"Blount County, AL"	"01009"	"2010"	"2010"	13	57322	Unreliable	Unreliable	0.0%
	"Blount County, AL"	"01009"	"2011"	"2011"	11	57677	Unreliable	Unreliable	0.0%
	"Blount County, AL"	"01009"	"2014"	"2014"	14	57719	Unreliable	Unreliable	0.0%
	"Blount County, AL"	"01009"	"2015"	"2015"	12	57673	Unreliable	Unreliable	0.0%
	"Blount County, AL"	"01009"	"2017"	"2017"	13	58013	Unreliable	Unreliable	0.0%
	"Butler County, AL"	"01013"	"2001"	"2001"	10	21139	Unreliable	Unreliable	0.0%
	"Butler County, AL"	"01013"	"2004"	"2004"	12	20870	Unreliable	Unreliable	0.0%
	"Calhoun County, AL"	"01015"	"1999"	"1999"	29	114910	25.2	25.1	0.0%
	"Calhoun County, AL"	"01015"	"2000"	"2000"	30	112249	26.7	25.2	0.0%
	"Calhoun County, AL"	"01015"	"2001"	"2001"	40	111266	35.9	33.6	0.0%
	"Calhoun County, AL"	"01015"	"2002"	"2002"	28	111625	25.1	23.0	0.0%
	"Calhoun County, AL"	"01015"	"2003"	"2003"	24	112705	21.3	20.3	0.0%
	"Calhoun County, AL"	"01015"	"2004"	"2004"	30	113462	26.4	26.2	0.0%
	"Calhoun County, AL"	"01015"	"2005"	"2005"	36	114477	31.4	29.9	0.0%
	"Calhoun County, AL"	"01015"	"2006"	"2006"	35	115388	30.3	29.0	0.0%
	"Calhoun County, AL"	"01015"	"2007"	"2007"	27	116211	23.2	21.8	0.0%
	"Calhoun County, AL"	"01015"	"2008"	"2008"	20	117274	17.1	15.7	0.0%
	"Calhoun County, AL"	"01015"	"2009"	"2009"	29	118363	24.5	23.5	0.0%
	"Calhoun County, AL"	"01015"	"2010"	"2010"	24	118572	20.2	18.1	0.0%
	"Calhoun County, AL"	"01015"	"2011"	"2011"	31	117797	26.3	23.7	0.0%
	"Calhoun County, AL"	"01015"	"2012"	"2012"	35	117296	29.8	27.2	0.0%
	"Calhoun County, AL"	"01015"	"2013"	"2013"	35	116736	30.0	25.5	0.0%
	"Calhoun County, AL"	"01015"	"2014"	"2014"	31	115916	26.7	22.2	0.0%
	"Calhoun County, AL"	"01015"	"2015"	"2015"	37	115620	32.0	26.7	0.0%
	"Calhoun County, AL"	"01015"	"2016"	"2016"	25	114611	21.8	17.3	0.0%
	"Calhoun County, AL"	"01015"	"2017"	"2017"	20	114728	17.4	13.0	0.0%
	"Calhoun County, AL"	"01015"	"2018"	"2018"	22	114277	19.3	15.3	0.0%
	"Calhoun County, AL"	"01015"	"2019"	"2019"	25	113605	22.0	15.3	0.0%
	"Calhoun County, AL"	"01015"	"2020 "	"2020"	20	113469	17.6	14.8	0.0%
	"Chambers County, AL"	"01017"	"1999"	"1999"	16	36527	Unreliable	Unreliable	0.0%
	"Chambers County, AL"	"01017"	"2000"	"2000"	17	36583	Unreliable	Unreliable	0.0%
	"Chambers County, AL"	"01017"	"2001"	"2001"	17	36274	Unreliable	Unreliable	0.0%
	"Chambers County, AL"	"01017"	"2002"	"2002"	15	35965	Unreliable	Unreliable	0.0%
	"Chambers County, AL"	"01017"	"2003"	"2003"	11	35680	Unreliable	Unreliable	0.0%
	"Chambers County, AL"	"01017"	"2004"	"2004"	10	35463	Unreliable	Unreliable	0.0%
	"Chambers County, AL"	"01017"	"2006"	"2006"	10	34945	Unreliable	Unreliable	0.0%
	"Chambers County, AL"	"01017"	"2009"	"2009"	11	34384	Unreliable	Unreliable	0.0%
	"Chambers County, AL"	"01017"	"2014"	"2014"	11	34076	Unreliable	Unreliable	0.0%
	"Cherokee County, AL"	"01019"	"2010"	"2010"	12	25989	Unreliable	Unreliable	0.0%
	"Cherokee County, AL"	"01019"	"2020 "	"2020"	11	26294	Unreliable	Unreliable	0.0%
	"Chilton County, AL"	"01021"	"1999"	"1999"	13	38862	Unreliable	Unreliable	0.0%
	"Chilton County, AL"	"01021"	"2000"	"2000"	10	39593	Unreliable	Unreliable	0.0%
	"Chilton County, AL"	"01021"	"2005"	"2005"	11	41946	Unreliable	Unreliable	0.0%
	"Chilton County, AL"	"01021"	"2007"	"2007"	11	42881	Unreliable	Unreliable	0.0%
	"Chilton County, AL"	"01021"	"2010"	"2010"	14	43643	Unreliable	Unreliable	0.0%
	"Chilton County, AL"	"01021"	"2013"	"2013"	10	43951	Unreliable	Unreliable	0.0%
	"Chilton County, AL"	"01021"	"2015"	"2015"	14	43943	Unreliable	Unreliable	0.0%
	"Chilton County, AL"	"01021"	"2017"	"2017"	10	44067	Unreliable	Unreliable	0.0%
	"Chilton County, AL"	"01021"	"2018"	"2018"	16	44153	Unreliable	Unreliable	0.0%
	"Clarke County, AL"	"01025"	"2009"	"2009"	11	26038	Unreliable	Unreliable	0.0%
	"Clarke County, AL"	"01025"	"2010"	"2010"	10	25833	Unreliable	Unreliable	0.0%
	"Clarke County, AL"	"01025"	"2017"	"2017"	12	24083	Unreliable	Unreliable	0.0%
	"Coffee County, AL"	"01031"	"1999"	"1999"	10	43667	Unreliable	Unreliable	0.0%
	"Coffee County, AL"	"01031"	"2002"	"2002"	19	43930	Unreliable	Unreliable	0.0%
	"Coffee County, AL"	"01031"	"2004"	"2004"	10	45053	Unreliable	Unreliable	0.0%
	"Coffee County, AL"	"01031"	"2005"	"2005"	11	45604	Unreliable	Unreliable	0.0%
	"Coffee County, AL"	"01031"	"2010"	"2010"	20	49948	40.0	35.2	0.0%
	"Coffee County, AL"	"01031"	"2011"	"2011"	16	50526	Unreliable	Unreliable	0.0%
	"Coffee County, AL"	"01031"	"2012"	"2012"	17	51252	Unreliable	Unreliable	0.0%
	"Coffee County, AL"	"01031"	"2013"	"2013"	10	50938	Unreliable	Unreliable	0.0%
	"Coffee County, AL"	"01031"	"2017"	"2017"	10	51874	Unreliable	Unreliable	0.0%
	"Coffee County, AL"	"01031"	"2019"	"2019"	13	52342	Unreliable	Unreliable	0.0%
	"Colbert County, AL"	"01033"	"1999"	"1999"	17	54715	Unreliable	Unreliable	0.0%
	"Colbert County, AL"	"01033"	"2000"	"2000"	10	54984	Unreliable	Unreliable	0.0%
	"Colbert County, AL"	"01033"	"2001"	"2001"	13	54793	Unreliable	Unreliable	0.0%
	"Colbert County, AL"	"01033"	"2002"	"2002"	17	54536	Unreliable	Unreliable	0.0%
	"Colbert County, AL"	"01033"	"2004"	"2004"	13	54380	Unreliable	Unreliable	0.0%
	"Colbert County, AL"	"01033"	"2005"	"2005"	14	54359	Unreliable	Unreliable	0.0%
	"Colbert County, AL"	"01033"	"2006"	"2006"	18	54413	Unreliable	Unreliable	0.0%
	"Colbert County, AL"	"01033"	"2007"	"2007"	13	54486	Unreliable	Unreliable	0.0%
	"Colbert County, AL"	"01033"	"2008"	"2008"	14	54473	Unreliable	Unreliable	0.0%
	"Colbert County, AL"	"01033"	"2010"	"2010"	20	54428	36.7	27.9	0.0%
	"Colbert County, AL"	"01033"	"2011"	"2011"	19	54512	Unreliable	Unreliable	0.0%
	"Colbert County, AL"	"01033"	"2012"	"2012"	17	54446	Unreliable	Unreliable	0.0%
	"Colbert County, AL"	"01033"	"2013"	"2013"	21	54520	38.5	27.9	0.0%
	"Colbert County, AL"	"01033"	"2014"	"2014"	14	54543	Unreliable	Unreliable	0.0%
	"Colbert County, AL"	"01033"	"2015"	"2015"	12	54354	Unreliable	Unreliable	0.0%
	"Colbert County, AL"	"01033"	"2016"	"2016"	15	54216	Unreliable	Unreliable	0.0%
	"Colbert County, AL"	"01033"	"2017"	"2017"	12	54500	Unreliable	Unreliable	0.0%
