"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate	% of Total Deaths
	"Baldwin County, AL"	"01003"	"1999"	"1999"	10	137555	Unreliable	Unreliable	0.0%
	"Baldwin County, AL"	"01003"	"2000"	"2000"	16	140415	Unreliable	Unreliable	0.0%
	"Baldwin County, AL"	"01003"	"2001"	"2001"	18	144875	Unreliable	Unreliable	0.0%
	"Baldwin County, AL"	"01003"	"2002"	"2002"	23	147957	15.5	13.7	0.0%
	"Baldwin County, AL"	"01003"	"2003"	"2003"	21	151509	13.9	11.8	0.0%
	"Baldwin County, AL"	"01003"	"2004"	"2004"	12	156266	Unreliable	Unreliable	0.0%
	"Baldwin County, AL"	"01003"	"2005"	"2005"	15	162183	Unreliable	Unreliable	0.0%
	"Baldwin County, AL"	"01003"	"2006"	"2006"	22	168121	13.1	11.3	0.0%
	"Baldwin County, AL"	"01003"	"2007"	"2007"	18	172404	Unreliable	Unreliable	0.0%
	"Baldwin County, AL"	"01003"	"2008"	"2008"	24	175827	13.6	11.7	0.0%
	"Baldwin County, AL"	"01003"	"2009"	"2009"	27	179406	15.0	12.4	0.0%
	"Baldwin County, AL"	"01003"	"2010"	"2010"	24	182265	13.2	11.0	0.0%
	"Baldwin County, AL"	"01003"	"2011"	"2011"	21	186717	11.2	9.2	0.0%
	"Baldwin County, AL"	"01003"	"2012"	"2012"	17	190790	Unreliable	Unreliable	0.0%
	"Baldwin County, AL"	"01003"	"2013"	"2013"	29	195540	14.8	11.5	0.0%
	"Baldwin County, AL"	"01003"	"2014"	"2014"	19	200111	Unreliable	Unreliable	0.0%
	"Baldwin County, AL"	"01003"	"2015"	"2015"	25	203709	12.3	9.3	0.0%
	"Baldwin County, AL"	"01003"	"2016"	"2016"	21	208563	10.1	7.3	0.0%
	"Baldwin County, AL"	"01003"	"2017"	"2017"	33	212628	15.5	11.4	0.0%
	"Baldwin County, AL"	"01003"	"2018"	"2018"	24	218022	11.0	8.0	0.0%
	"Baldwin County, AL"	"01003"	"2019"	"2019"	36	223234	16.1	10.9	0.0%
	"Baldwin County, AL"	"01003"	"2020 "	"2020"	31	229287	13.5	9.4	0.0%
	"Blount County, AL"	"01009"	"2015"	"2015"	11	57673	Unreliable	Unreliable	0.0%
	"Calhoun County, AL"	"01015"	"2006"	"2006"	11	115388	Unreliable	Unreliable	0.0%
	"Calhoun County, AL"	"01015"	"2012"	"2012"	14	117296	Unreliable	Unreliable	0.0%
	"Calhoun County, AL"	"01015"	"2013"	"2013"	11	116736	Unreliable	Unreliable	0.0%
	"Calhoun County, AL"	"01015"	"2014"	"2014"	16	115916	Unreliable	Unreliable	0.0%
	"Calhoun County, AL"	"01015"	"2015"	"2015"	12	115620	Unreliable	Unreliable	0.0%
	"Calhoun County, AL"	"01015"	"2017"	"2017"	17	114728	Unreliable	Unreliable	0.0%
	"Calhoun County, AL"	"01015"	"2018"	"2018"	20	114277	17.5	13.6	0.0%
	"Calhoun County, AL"	"01015"	"2019"	"2019"	14	113605	Unreliable	Unreliable	0.0%
	"Calhoun County, AL"	"01015"	"2020 "	"2020"	11	113469	Unreliable	Unreliable	0.0%
	"Colbert County, AL"	"01033"	"2007"	"2007"	11	54486	Unreliable	Unreliable	0.0%
	"Colbert County, AL"	"01033"	"2008"	"2008"	10	54473	Unreliable	Unreliable	0.0%
	"Colbert County, AL"	"01033"	"2013"	"2013"	12	54520	Unreliable	Unreliable	0.0%
	"Colbert County, AL"	"01033"	"2019"	"2019"	13	55241	Unreliable	Unreliable	0.0%
	"Cullman County, AL"	"01043"	"2010"	"2010"	12	80406	Unreliable	Unreliable	0.0%
	"Cullman County, AL"	"01043"	"2012"	"2012"	11	80440	Unreliable	Unreliable	0.0%
	"Cullman County, AL"	"01043"	"2013"	"2013"	10	80811	Unreliable	Unreliable	0.0%
	"Cullman County, AL"	"01043"	"2015"	"2015"	10	82005	Unreliable	Unreliable	0.0%
	"Cullman County, AL"	"01043"	"2016"	"2016"	14	82471	Unreliable	Unreliable	0.0%
	"Cullman County, AL"	"01043"	"2017"	"2017"	18	82755	Unreliable	Unreliable	0.0%
	"Cullman County, AL"	"01043"	"2018"	"2018"	17	83442	Unreliable	Unreliable	0.0%
	"Cullman County, AL"	"01043"	"2020 "	"2020"	13	84515	Unreliable	Unreliable	0.0%
	"Dale County, AL"	"01045"	"2016"	"2016"	10	49226	Unreliable	Unreliable	0.0%
