"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate	% of Total Deaths
	"Autauga County, AL"	"01001"	"2011"	"2011"	12	55267	Unreliable	Unreliable	0.0%
	"Autauga County, AL"	"01001"	"2012"	"2012"	13	55514	Unreliable	Unreliable	0.0%
	"Autauga County, AL"	"01001"	"2013"	"2013"	20	55246	36.2	35.8	0.0%
	"Autauga County, AL"	"01001"	"2018"	"2018"	11	55601	Unreliable	Unreliable	0.0%
	"Autauga County, AL"	"01001"	"2019"	"2019"	14	55869	Unreliable	Unreliable	0.0%
	"Autauga County, AL"	"01001"	"2020 "	"2020"	16	56145	Unreliable	Unreliable	0.0%
	"Baldwin County, AL"	"01003"	"1999"	"1999"	14	137555	Unreliable	Unreliable	0.0%
	"Baldwin County, AL"	"01003"	"2000"	"2000"	21	140415	15.0	13.6	0.0%
	"Baldwin County, AL"	"01003"	"2001"	"2001"	11	144875	Unreliable	Unreliable	0.0%
	"Baldwin County, AL"	"01003"	"2002"	"2002"	21	147957	14.2	13.0	0.0%
	"Baldwin County, AL"	"01003"	"2003"	"2003"	22	151509	14.5	11.9	0.0%
	"Baldwin County, AL"	"01003"	"2004"	"2004"	15	156266	Unreliable	Unreliable	0.0%
	"Baldwin County, AL"	"01003"	"2005"	"2005"	11	162183	Unreliable	Unreliable	0.0%
	"Baldwin County, AL"	"01003"	"2006"	"2006"	18	168121	Unreliable	Unreliable	0.0%
	"Baldwin County, AL"	"01003"	"2007"	"2007"	25	172404	14.5	12.2	0.0%
	"Baldwin County, AL"	"01003"	"2008"	"2008"	27	175827	15.4	12.2	0.0%
	"Baldwin County, AL"	"01003"	"2009"	"2009"	17	179406	Unreliable	Unreliable	0.0%
	"Baldwin County, AL"	"01003"	"2010"	"2010"	12	182265	Unreliable	Unreliable	0.0%
	"Baldwin County, AL"	"01003"	"2011"	"2011"	30	186717	16.1	13.5	0.0%
	"Baldwin County, AL"	"01003"	"2012"	"2012"	27	190790	14.2	11.4	0.0%
	"Baldwin County, AL"	"01003"	"2013"	"2013"	24	195540	12.3	9.8	0.0%
	"Baldwin County, AL"	"01003"	"2014"	"2014"	26	200111	13.0	9.5	0.0%
	"Baldwin County, AL"	"01003"	"2015"	"2015"	21	203709	10.3	7.6	0.0%
	"Baldwin County, AL"	"01003"	"2016"	"2016"	26	208563	12.5	8.7	0.0%
	"Baldwin County, AL"	"01003"	"2017"	"2017"	40	212628	18.8	13.9	0.0%
	"Baldwin County, AL"	"01003"	"2018"	"2018"	32	218022	14.7	9.7	0.0%
	"Baldwin County, AL"	"01003"	"2019"	"2019"	21	223234	9.4	6.7	0.0%
	"Baldwin County, AL"	"01003"	"2020 "	"2020"	38	229287	16.6	11.2	0.0%
	"Blount County, AL"	"01009"	"2001"	"2001"	14	51845	Unreliable	Unreliable	0.0%
	"Blount County, AL"	"01009"	"2002"	"2002"	14	52551	Unreliable	Unreliable	0.0%
	"Blount County, AL"	"01009"	"2007"	"2007"	10	56240	Unreliable	Unreliable	0.0%
	"Blount County, AL"	"01009"	"2008"	"2008"	17	57055	Unreliable	Unreliable	0.0%
	"Blount County, AL"	"01009"	"2009"	"2009"	10	57341	Unreliable	Unreliable	0.0%
	"Blount County, AL"	"01009"	"2011"	"2011"	12	57677	Unreliable	Unreliable	0.0%
	"Blount County, AL"	"01009"	"2012"	"2012"	10	57826	Unreliable	Unreliable	0.0%
	"Blount County, AL"	"01009"	"2013"	"2013"	13	57872	Unreliable	Unreliable	0.0%
	"Blount County, AL"	"01009"	"2014"	"2014"	23	57719	39.8	33.6	0.0%
	"Blount County, AL"	"01009"	"2015"	"2015"	10	57673	Unreliable	Unreliable	0.0%
	"Blount County, AL"	"01009"	"2016"	"2016"	10	57704	Unreliable	Unreliable	0.0%
	"Blount County, AL"	"01009"	"2017"	"2017"	12	58013	Unreliable	Unreliable	0.0%
	"Blount County, AL"	"01009"	"2018"	"2018"	15	57840	Unreliable	Unreliable	0.0%
	"Blount County, AL"	"01009"	"2019"	"2019"	15	57826	Unreliable	Unreliable	0.0%
	"Blount County, AL"	"01009"	"2020 "	"2020"	18	57879	Unreliable	Unreliable	0.0%
	"Butler County, AL"	"01013"	"2008"	"2008"	11	20949	Unreliable	Unreliable	0.0%
	"Calhoun County, AL"	"01015"	"1999"	"1999"	22	114910	19.1	18.6	0.0%
	"Calhoun County, AL"	"01015"	"2000"	"2000"	32	112249	28.5	26.5	0.0%
	"Calhoun County, AL"	"01015"	"2001"	"2001"	30	111266	27.0	27.5	0.0%
	"Calhoun County, AL"	"01015"	"2002"	"2002"	33	111625	29.6	27.5	0.0%
	"Calhoun County, AL"	"01015"	"2003"	"2003"	33	112705	29.3	28.1	0.0%
	"Calhoun County, AL"	"01015"	"2004"	"2004"	30	113462	26.4	24.0	0.0%
	"Calhoun County, AL"	"01015"	"2005"	"2005"	43	114477	37.6	34.0	0.0%
	"Calhoun County, AL"	"01015"	"2006"	"2006"	41	115388	35.5	32.9	0.0%
	"Calhoun County, AL"	"01015"	"2007"	"2007"	22	116211	18.9	17.6	0.0%
	"Calhoun County, AL"	"01015"	"2008"	"2008"	42	117274	35.8	31.7	0.0%
	"Calhoun County, AL"	"01015"	"2009"	"2009"	31	118363	26.2	24.5	0.0%
	"Calhoun County, AL"	"01015"	"2010"	"2010"	50	118572	42.2	38.5	0.0%
	"Calhoun County, AL"	"01015"	"2011"	"2011"	36	117797	30.6	28.1	0.0%
	"Calhoun County, AL"	"01015"	"2012"	"2012"	46	117296	39.2	33.3	0.0%
	"Calhoun County, AL"	"01015"	"2013"	"2013"	39	116736	33.4	28.1	0.0%
	"Calhoun County, AL"	"01015"	"2014"	"2014"	40	115916	34.5	27.6	0.0%
	"Calhoun County, AL"	"01015"	"2015"	"2015"	32	115620	27.7	23.0	0.0%
	"Calhoun County, AL"	"01015"	"2016"	"2016"	31	114611	27.0	21.7	0.0%
	"Calhoun County, AL"	"01015"	"2017"	"2017"	42	114728	36.6	30.9	0.0%
	"Calhoun County, AL"	"01015"	"2018"	"2018"	34	114277	29.8	23.6	0.0%
	"Calhoun County, AL"	"01015"	"2019"	"2019"	35	113605	30.8	24.0	0.0%
	"Calhoun County, AL"	"01015"	"2020 "	"2020"	36	113469	31.7	25.3	0.0%
	"Chambers County, AL"	"01017"	"2000"	"2000"	17	36583	Unreliable	Unreliable	0.0%
	"Chambers County, AL"	"01017"	"2001"	"2001"	10	36274	Unreliable	Unreliable	0.0%
	"Chambers County, AL"	"01017"	"2006"	"2006"	13	34945	Unreliable	Unreliable	0.0%
	"Chambers County, AL"	"01017"	"2008"	"2008"	11	34563	Unreliable	Unreliable	0.0%
	"Chambers County, AL"	"01017"	"2010"	"2010"	12	34215	Unreliable	Unreliable	0.0%
	"Chambers County, AL"	"01017"	"2013"	"2013"	10	34162	Unreliable	Unreliable	0.0%
	"Chambers County, AL"	"01017"	"2015"	"2015"	10	34123	Unreliable	Unreliable	0.0%
	"Chambers County, AL"	"01017"	"2016"	"2016"	12	33843	Unreliable	Unreliable	0.0%
	"Chambers County, AL"	"01017"	"2017"	"2017"	10	33713	Unreliable	Unreliable	0.0%
	"Cherokee County, AL"	"01019"	"2020 "	"2020"	10	26294	Unreliable	Unreliable	0.0%
	"Chilton County, AL"	"01021"	"2007"	"2007"	10	42881	Unreliable	Unreliable	0.0%
	"Chilton County, AL"	"01021"	"2008"	"2008"	11	43239	Unreliable	Unreliable	0.0%
	"Chilton County, AL"	"01021"	"2011"	"2011"	10	43895	Unreliable	Unreliable	0.0%
	"Chilton County, AL"	"01021"	"2013"	"2013"	16	43951	Unreliable	Unreliable	0.0%
	"Chilton County, AL"	"01021"	"2014"	"2014"	11	43931	Unreliable	Unreliable	0.0%
	"Chilton County, AL"	"01021"	"2015"	"2015"	10	43943	Unreliable	Unreliable	0.0%
	"Chilton County, AL"	"01021"	"2016"	"2016"	14	43941	Unreliable	Unreliable	0.0%
	"Chilton County, AL"	"01021"	"2020 "	"2020"	14	44397	Unreliable	Unreliable	0.0%
	"Cleburne County, AL"	"01029"	"2002"	"2002"	10	14416	Unreliable	Unreliable	0.0%
	"Cleburne County, AL"	"01029"	"2010"	"2010"	10	14972	Unreliable	Unreliable	0.0%
	"Coffee County, AL"	"01031"	"2010"	"2010"	10	49948	Unreliable	Unreliable	0.0%
	"Coffee County, AL"	"01031"	"2011"	"2011"	11	50526	Unreliable	Unreliable	0.0%
	"Coffee County, AL"	"01031"	"2019"	"2019"	10	52342	Unreliable	Unreliable	0.0%
	"Colbert County, AL"	"01033"	"2004"	"2004"	13	54380	Unreliable	Unreliable	0.0%
	"Colbert County, AL"	"01033"	"2006"	"2006"	13	54413	Unreliable	Unreliable	0.0%
	"Colbert County, AL"	"01033"	"2008"	"2008"	10	54473	Unreliable	Unreliable	0.0%
	"Colbert County, AL"	"01033"	"2009"	"2009"	18	54426	Unreliable	Unreliable	0.0%
	"Colbert County, AL"	"01033"	"2010"	"2010"	10	54428	Unreliable	Unreliable	0.0%
	"Colbert County, AL"	"01033"	"2011"	"2011"	13	54512	Unreliable	Unreliable	0.0%
	"Colbert County, AL"	"01033"	"2012"	"2012"	11	54446	Unreliable	Unreliable	0.0%
	"Colbert County, AL"	"01033"	"2013"	"2013"	10	54520	Unreliable	Unreliable	0.0%
	"Colbert County, AL"	"01033"	"2015"	"2015"	19	54354	Unreliable	Unreliable	0.0%
	"Colbert County, AL"	"01033"	"2016"	"2016"	14	54216	Unreliable	Unreliable	0.0%
	"Colbert County, AL"	"01033"	"2017"	"2017"	14	54500	Unreliable	Unreliable	0.0%
	"Colbert County, AL"	"01033"	"2019"	"2019"	10	55241	Unreliable	Unreliable	0.0%
	"Colbert County, AL"	"01033"	"2020 "	"2020"	12	55411	Unreliable	Unreliable	0.0%
	"Covington County, AL"	"01039"	"2001"	"2001"	12	37069	Unreliable	Unreliable	0.0%
	"Covington County, AL"	"01039"	"2003"	"2003"	10	36860	Unreliable	Unreliable	0.0%
	"Covington County, AL"	"01039"	"2004"	"2004"	10	36806	Unreliable	Unreliable	0.0%
	"Covington County, AL"	"01039"	"2005"	"2005"	12	37204	Unreliable	Unreliable	0.0%
	"Covington County, AL"	"01039"	"2006"	"2006"	12	37441	Unreliable	Unreliable	0.0%
	"Covington County, AL"	"01039"	"2007"	"2007"	10	37631	Unreliable	Unreliable	0.0%
	"Covington County, AL"	"01039"	"2009"	"2009"	13	37648	Unreliable	Unreliable	0.0%
	"Covington County, AL"	"01039"	"2012"	"2012"	14	37955	Unreliable	Unreliable	0.0%
	"Covington County, AL"	"01039"	"2013"	"2013"	15	37886	Unreliable	Unreliable	0.0%
	"Covington County, AL"	"01039"	"2014"	"2014"	15	37914	Unreliable	Unreliable	0.0%
	"Covington County, AL"	"01039"	"2015"	"2015"	16	37835	Unreliable	Unreliable	0.0%
	"Covington County, AL"	"01039"	"2016"	"2016"	18	37458	Unreliable	Unreliable	0.0%
	"Covington County, AL"	"01039"	"2017"	"2017"	19	37092	Unreliable	Unreliable	0.0%
	"Covington County, AL"	"01039"	"2018"	"2018"	21	36986	56.8	34.2	0.0%
	"Covington County, AL"	"01039"	"2019"	"2019"	16	37049	Unreliable	Unreliable	0.0%
	"Covington County, AL"	"01039"	"2020 "	"2020"	16	36930	Unreliable	Unreliable	0.0%
	"Cullman County, AL"	"01043"	"2000"	"2000"	17	77483	Unreliable	Unreliable	0.0%
	"Cullman County, AL"	"01043"	"2001"	"2001"	14	77415	Unreliable	Unreliable	0.0%
	"Cullman County, AL"	"01043"	"2003"	"2003"	17	77657	Unreliable	Unreliable	0.0%
	"Cullman County, AL"	"01043"	"2005"	"2005"	12	78692	Unreliable	Unreliable	0.0%
	"Cullman County, AL"	"01043"	"2008"	"2008"	10	80273	Unreliable	Unreliable	0.0%
	"Cullman County, AL"	"01043"	"2009"	"2009"	11	80351	Unreliable	Unreliable	0.0%
	"Cullman County, AL"	"01043"	"2010"	"2010"	13	80406	Unreliable	Unreliable	0.0%
