"FIPS","Year","Alzheimers Deaths","Population","STATE","COUNTY","PM2_5GE_Threshold","PM2_5GT35LE50","PM2_5GT50","Poverty Percent, All Ages","% Smokers","% Excessive Drinking","% African American","% Asian","% Hispanic","% Age < 18","% Age 65 and over","% Obese","% Unemployed","% Uninsured","Median Household Income","% Rural","PM2_5GE_ThresholdLastYear","PM2_5GE_ThresholdLast2Year","PM2_5GE_ThresholdLast3Year","PM2_5GE_ThresholdLast4Year","PM2_5GE_ThresholdLast5Year","PM2_5GT35LE50LastYear","PM2_5GT35LE50Last2Year","PM2_5GT35LE50Last3Year","PM2_5GT35LE50Last4Year","PM2_5GT35LE50Last5Year","PM2_5GT50LastYear","PM2_5GT50Last2Year","PM2_5GT50Last3Year","PM2_5GT50Last4Year","PM2_5GT50Last5Year"
6001,2015,562,1638215,"California","Alameda",0,0,0,11.5,10.6,19.4,11.51491775,28.20106011,22.67458615,21.73531928,12.15017376,20.5,7.413177706,14.74294644,72128,0.388605754,1,3,3,5,5,1,3,3,5,5,0,0,0,0,0
6001,2016,583,1647704,"California","Alameda",0,0,0,10.7,10.6,16.3,11.21985498,28.86075729,22.67466871,21.40998845,12.45660091,20,5.877024106,14.41522675,76996,0.388605754,0,1,3,3,5,0,1,3,3,5,0,0,0,0,0
6001,2017,618,1663190,"California","Alameda",7,5,2,9.3,9.873413685,16.94587654,10.94648749,29.51828667,22.588366,21.13898359,12.74014705,20,4.744492361,9.598107071,81462,0.388605754,0,0,1,3,3,0,0,1,3,3,0,0,0,0,0
6001,2018,628,1666753,"California","Alameda",14,2,12,9,10.67353273,19.58502523,10.71333201,30.21519642,22.52054981,20.96784374,13.07370741,18.9,4.240276782,6.042725536,89472,0.388605754,7,7,7,8,10,5,5,5,6,8,2,2,2,2,2
6001,2019,622,1671329,"California","Alameda",0,0,0,8.9,10.67353273,19.58502523,10.47523133,31.08778913,22.46718655,20.7230082,13.47837589,19.1,3.642664749,5.261262409,95550,0.388605754,14,21,21,21,22,2,7,7,7,8,12,14,14,14,14
6007,2015,156,225411,"California","Butte",0,0,0,21.4,19.2,20.4,1.472826332,4.427934621,15.14791301,20.33139718,16.65901211,24.4,10.03576972,19.31215631,42395,18.90181818,2,2,7,9,9,2,2,5,7,7,0,0,2,2,2
6007,2016,210,226864,"California","Butte",1,1,0,19.5,15,19.9,1.486793227,4.616461753,15.45167922,20.17026324,17.03925687,25.2,8.653506534,17.10859624,42302,18.90181818,0,2,2,7,9,0,2,2,5,7,0,0,0,2,2
6007,2017,182,229294,"California","Butte",3,3,0,18.1,14.5094653,20.91615579,1.525657577,4.683001273,15.74945322,20.11791794,17.54262214,25.9,7.209208599,13.07519027,45369,18.90181818,1,1,3,3,8,1,1,3,3,6,0,0,0,0,2
6007,2018,193,231256,"California","Butte",24,10,14,18.5,14.15561774,18.93858454,1.517649341,4.718245292,15.99284153,20.05122011,17.99095493,25.4,6.541307089,8.089366993,45097,18.90181818,3,4,4,6,6,3,4,4,6,6,0,0,0,0,0
6007,2019,134,219186,"California","Butte",1,1,0,16.1,14.15561774,18.93858454,1.523807862,4.805620732,16.38464155,20.00488456,18.15049674,25.4,5.744693247,7.09638845,48634,18.90181818,24,27,28,28,30,10,13,14,14,16,14,14,14,14,14
6009,2015,22,44828,"California","Calaveras",4,0,4,13,19.1,23.9,0.862630574,1.491632034,11.10636864,18.0119061,24.26148489,24.3,10.42877907,16.47886081,52598,75.40918864,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0
6009,2016,14,45171,"California","Calaveras",0,0,0,13.1,11.6,18.2,0.860523485,1.517120832,11.50053783,17.73261026,25.09411976,25.3,8.080957305,16.18748128,53321,75.40918864,4,4,5,5,5,0,0,1,1,1,4,4,4,4,4
6009,2017,22,45670,"California","Calaveras",4,3,1,13.1,11.74827567,19.09223103,0.869991969,1.597216026,11.52404747,17.38868564,25.86553047,23.5,6.451925876,10.63489187,52471,75.40918864,0,4,4,5,5,0,0,0,1,1,0,4,4,4,4
6009,2018,22,45602,"California","Calaveras",16,11,5,12.1,11.74399119,18.29147197,0.77926103,1.616081114,11.61585973,17.17252219,26.32662549,25.8,5.627809123,7.143074073,57990,75.40918864,4,4,8,8,9,3,3,3,3,4,1,1,5,5,5
6009,2019,23,45905,"California","Calaveras",0,0,0,12.1,11.74399119,18.29147197,0.783884388,1.650974381,12.06919203,17.04839063,26.8797898,24.5,4.725264351,6.267996242,58536,75.40918864,16,20,20,24,24,11,14,14,14,14,5,6,6,10,10
6013,2015,494,1126745,"California","Contra Costa",0,0,0,10.2,11.6,18.4,8.8487989,15.93586211,24.94084747,23.81811452,13.81221983,22.4,7.390218376,13.78403415,78909,0.792736112,0,2,2,4,6,0,2,2,4,6,0,0,0,0,0
6013,2016,515,1135127,"California","Contra Costa",0,0,0,8.7,11,17.4,8.812882478,16.39121816,25.15515068,23.43416365,14.2349904,22.9,6.15949355,13.98797582,80338,0.792736112,0,0,2,2,4,0,0,2,2,4,0,0,0,0,0
6013,2017,546,1147439,"California","Contra Costa",8,5,3,9.1,10.61901268,18.01611135,8.804831617,16.83051622,25.29640691,23.19247035,14.59993166,25,5.005927833,9.816823816,83036,0.792736112,0,0,0,2,2,0,0,0,2,2,0,0,0,0,0
6013,2018,572,1150215,"California","Contra Costa",14,3,11,7.8,10.46856736,16.27890933,8.773291447,17.12090365,25.43442276,23.04200323,14.95392146,24.2,4.427859266,6.520420256,90920,0.792736112,8,8,8,8,10,5,5,5,5,7,3,3,3,3,3
6013,2019,572,1153526,"California","Contra Costa",0,0,0,7.9,10.46856736,16.27890933,8.725605457,17.70142029,25.67317304,22.83485222,15.29109608,25.2,3.798440401,5.938883052,95062,0.792736112,14,22,22,22,22,3,8,8,8,8,11,14,14,14,14
6017,2015,70,184452,"California","El Dorado",0,0,0,9.1,14.3,20.9,0.781899118,3.930955172,12.46911746,21.32807299,17.1693161,21,8.512781484,13.43198634,63002,34.69993041,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1
6017,2016,63,185625,"California","El Dorado",0,0,0,8.7,11.6,20.6,0.852053942,4.03087057,12.67430238,20.88132964,17.95976776,19.4,6.995731838,13.29617781,70235,34.69993041,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1
6017,2017,74,188987,"California","El Dorado",0,0,0,8.3,11.25937113,19.38731381,0.865807907,4.179949255,12.81254744,20.55765186,18.64604342,20.6,5.667575543,9.255792419,75575,34.69993041,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1
6017,2018,77,190678,"California","El Dorado",4,4,0,8.1,10.99345121,22.17481303,0.878653199,4.323232323,12.76713805,20.30922559,19.39771044,18.7,5.067029208,6.216658178,75100,34.69993041,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
6017,2019,75,192843,"California","El Dorado",0,0,0,8.7,10.99345121,22.17481303,0.873605063,4.515654516,12.84638626,20.0378862,20.35272267,20.1,4.36107959,5.359964646,78464,34.69993041,4,4,4,4,5,4,4,4,4,4,0,0,0,0,1
6019,2015,354,974861,"California","Fresno",9,5,4,25.2,13.9,17.5,4.762308536,10.51920291,51.56562738,29.11317405,10.85607031,28.5,12.8790685,22.33475633,43741,10.80520178,22,43,57,80,86,13,30,42,56,61,9,13,15,24,25
